FCLICODE,Start Balance,New Client,Closed Clients,From other,Own Resources,End Balance,Category
04000001,0.0,6,3,125.57,589.18,414.75,AMD
04000001,0.0,9,3,175.36,-242.53,-367.17,USD
04000001,2469.48,0,1,640.67,707.76,3717.91,EUR
04000001,4232.7,1,3,852.83,-74.59,4710.94,Other
04000002,0.0,6,0,952.28,195.84,1148.12,AMD
04000002,0.0,5,3,898.39,-479.82,118.57,USD
04000002,3690.99,3,4,755.88,-857.72,3189.15,EUR
04000002,2635.39,5,2,215.95,536.85,3188.19,Other
04000003,1988.41,4,3,527.02,255.69,2471.12,AMD
04000003,1986.36,9,2,971.78,-818.51,1939.63,USD
04000003,0.0,7,1,677.34,496.68,1074.02,EUR
04000003,0.0,1,1,740.6,-619.9,20.7,Other
04000004,2658.13,7,1,878.13,-942.47,2493.79,AMD
04000004,0.0,7,1,962.76,121.97,984.73,USD
04000004,4552.86,2,1,569.85,-183.35,4839.36,EUR
04000004,0.0,5,2,715.34,591.38,1106.72,Other
04000005,4928.07,9,4,668.87,-244.27,4952.67,AMD
04000005,0.0,6,4,632.25,989.29,1221.54,USD
04000005,0.0,2,0,321.48,391.18,712.66,EUR
04000005,3785.48,8,3,870.59,-322.35,4033.72,Other
04000006,2022.49,4,1,590.41,-452.1,2060.8,AMD
04000006,4558.05,4,4,366.09,499.48,5023.62,USD
04000006,0.0,8,0,472.06,466.25,938.31,EUR
04000006,2640.16,7,0,832.43,280.14,3752.73,Other
04000007,0.0,2,2,840.95,-293.06,347.89,AMD
04000007,0.0,5,0,168.54,-659.2,-490.66,USD
04000007,0.0,0,0,223.34,825.8,1049.14,EUR
04000007,0.0,9,1,417.43,-859.0,-541.57,Other
04000008,1841.57,8,4,239.63,305.49,1986.69,AMD
04000008,0.0,0,1,955.19,-468.46,386.73,USD
04000008,1697.01,0,0,351.45,-425.64,1622.82,EUR
04000008,1114.48,0,2,338.78,-872.24,381.02,Other
04000009,2249.35,5,2,369.38,132.66,2551.39,AMD
04000009,4121.79,7,2,345.83,-527.6,3740.02,USD
04000009,0.0,1,1,574.29,54.67,528.96,EUR
04000009,184.68,5,3,686.65,387.53,958.86,Other
040000010,4488.13,2,2,314.22,-517.05,4085.3,AMD
040000010,1187.5,8,2,813.33,224.34,2025.17,USD
040000010,0.0,6,3,849.7,458.15,1007.85,EUR
040000010,0.0,9,4,708.23,785.01,1093.24,Other
040000011,2625.94,8,1,193.26,-695.7,2023.5,AMD
040000011,195.75,9,0,881.62,-871.98,205.39,USD
040000011,0.0,8,4,118.78,-765.22,-1046.44,EUR
040000011,4290.02,9,3,847.64,-252.81,4584.85,Other
040000012,0.0,6,0,857.55,-488.93,368.62,AMD
040000012,3110.67,9,0,172.27,364.47,3647.41,USD
040000012,0.0,5,1,660.8,-233.9,326.9,EUR
040000012,0.0,5,1,125.12,-1.26,23.86,Other
040000013,4781.7,6,0,986.39,-66.21,5701.88,AMD
040000013,2423.07,1,0,297.71,391.36,3112.14,USD
040000013,216.58,3,4,944.15,-908.79,-148.06,EUR
040000013,0.0,7,1,459.56,934.43,1293.99,Other
040000014,2022.31,7,3,961.97,552.87,3237.15,AMD
040000014,0.0,4,1,995.41,-79.27,816.14,USD
040000014,2778.55,3,2,746.56,943.05,4268.16,EUR
040000014,0.0,5,2,347.47,-977.51,-830.04,Other
040000015,1195.56,5,4,907.06,514.83,2217.45,AMD
040000015,0.0,6,3,457.52,-920.6,-763.08,USD
040000015,0.0,2,3,446.34,878.23,1024.57,EUR
040000015,1852.3,0,0,508.43,-105.94,2254.79,Other
040000016,3280.49,8,2,743.26,-946.06,2877.69,AMD
040000016,0.0,5,1,540.85,-586.5,-145.65,USD
040000016,0.0,6,3,188.6,-610.3,-721.7,EUR
040000016,0.0,7,4,654.83,-965.48,-710.65,Other
040000017,4846.19,3,2,862.14,-57.87,5450.46,AMD
040000017,592.87,4,1,645.15,-544.9,593.12,USD
040000017,0.0,8,2,689.57,-388.12,101.45,EUR
040000017,0.0,8,4,114.14,-967.8,-1253.66,Other
040000018,2851.18,8,1,937.21,-989.97,2698.42,AMD
040000018,0.0,0,2,446.16,249.18,495.34,USD
040000018,0.0,8,3,590.85,-807.33,-516.48,EUR
040000018,0.0,2,3,337.41,-883.57,-846.16,Other
040000019,0.0,9,3,644.31,-197.58,146.73,AMD
040000019,0.0,4,0,256.51,-946.74,-690.23,USD
040000019,0.0,6,0,350.46,347.65,698.11,EUR
040000019,0.0,3,4,371.09,-24.54,-53.45,Other
040000020,0.0,2,3,338.26,103.77,142.03,AMD
040000020,0.0,0,4,308.64,-324.25,-415.61,USD
040000020,0.0,1,4,352.24,973.06,925.3,EUR
040000020,1003.91,4,3,722.17,660.81,2086.89,Other
040000021,0.0,5,2,552.19,767.74,1119.93,AMD
040000021,0.0,9,4,372.41,-559.63,-587.22,USD
040000021,0.0,0,0,423.83,613.18,1037.01,EUR
040000021,2419.66,8,4,923.15,-323.92,2618.89,Other
040000022,0.0,3,1,106.96,-594.03,-587.07,AMD
040000022,0.0,4,4,450.76,-374.85,-324.09,USD
040000022,0.0,8,0,290.25,591.8,882.05,EUR
040000022,3543.98,7,0,197.66,514.88,4256.52,Other
040000023,0.0,9,1,239.45,821.33,960.78,AMD
040000023,3896.47,4,2,683.95,-61.47,4318.95,USD
040000023,2495.08,6,1,109.21,547.39,3051.68,EUR
040000023,226.67,0,3,425.17,-786.29,-434.45,Other
040000024,0.0,1,4,348.29,84.03,32.32,AMD
040000024,1110.42,0,0,504.37,-184.66,1430.13,USD
040000024,0.0,0,0,288.17,121.62,409.79,EUR
040000024,0.0,5,3,453.63,37.75,191.38,Other
040000025,2306.25,2,2,743.81,57.16,2907.22,AMD
040000025,0.0,6,4,950.06,-65.45,484.61,USD
040000025,2539.35,1,3,397.16,525.51,3162.02,EUR
040000025,0.0,0,0,887.76,-102.52,785.24,Other
040000026,4963.99,1,2,757.15,-37.63,5483.51,AMD
040000026,866.38,0,2,577.88,390.31,1634.57,USD
040000026,0.0,2,1,522.78,-939.35,-516.57,EUR
040000026,0.0,9,3,554.67,513.73,768.4,Other
040000027,2630.45,4,1,111.25,-47.07,2594.63,AMD
040000027,0.0,0,0,381.5,892.45,1273.95,USD
040000027,4629.7,0,4,839.76,-653.33,4416.13,EUR
040000027,2873.24,5,0,395.74,691.6,3960.58,Other
040000028,0.0,1,2,605.97,227.68,633.65,AMD
040000028,3512.29,8,4,677.99,347.16,4137.44,USD
040000028,0.0,7,3,699.67,169.54,569.21,EUR
040000028,3272.15,4,4,282.14,-286.02,2868.27,Other
040000029,4589.96,5,3,102.34,569.29,4961.59,AMD
040000029,0.0,8,1,252.21,-951.9,-799.69,USD
040000029,0.0,5,1,505.74,32.38,438.12,EUR
040000029,0.0,6,1,816.18,-627.44,88.74,Other
040000030,0.0,6,3,942.75,-166.44,476.31,AMD
040000030,0.0,5,1,782.41,104.26,786.67,USD
040000030,0.0,2,0,134.98,896.22,1031.2,EUR
040000030,0.0,6,4,155.41,-932.65,-1177.24,Other
040000031,2198.55,1,4,187.94,-323.47,1663.02,AMD
040000031,0.0,7,2,284.33,-865.28,-780.95,USD
040000031,0.0,2,1,802.19,124.9,827.09,EUR
040000031,3256.04,7,1,700.08,807.78,4663.9,Other
040000032,0.0,2,4,951.16,-194.27,356.89,AMD
040000032,0.0,1,0,424.78,-949.62,-524.84,USD
040000032,0.0,2,0,266.74,-483.35,-216.61,EUR
040000032,0.0,5,4,917.01,335.39,852.4,Other
040000033,0.0,7,2,576.18,382.58,758.76,AMD
040000033,0.0,1,2,225.05,-276.44,-251.39,USD
040000033,0.0,8,2,412.47,-811.79,-599.32,EUR
040000033,0.0,3,4,539.1,28.04,167.14,Other
040000034,0.0,6,4,301.94,-689.77,-787.83,AMD
040000034,2479.63,0,4,316.56,-812.76,1583.43,USD
040000034,0.0,3,3,680.03,10.73,390.76,EUR
040000034,3241.95,5,2,577.93,-56.73,3563.15,Other
040000035,2943.69,0,2,531.39,297.59,3572.67,AMD
040000035,663.67,4,3,639.1,-912.08,90.69,USD
040000035,1068.99,5,0,547.77,463.12,2079.88,EUR
040000035,4396.21,2,2,620.86,-561.34,4255.73,Other
040000036,4464.48,7,4,600.89,-903.04,3762.33,AMD
040000036,0.0,7,3,637.32,-898.93,-561.61,USD
040000036,2093.02,7,1,716.59,-448.72,2260.89,EUR
040000036,3010.84,9,0,452.91,-777.7,2686.05,Other
040000037,0.0,1,2,534.74,647.57,982.31,AMD
040000037,826.46,9,0,730.91,-923.94,633.43,USD
040000037,339.22,3,0,703.4,444.4,1487.02,EUR
040000037,367.32,0,3,253.29,691.23,1011.84,Other
040000038,3655.15,6,0,267.19,-788.83,3133.51,AMD
040000038,0.0,1,1,638.62,-820.13,-281.51,USD
040000038,2623.16,5,2,495.95,25.2,2944.31,EUR
040000038,880.28,6,3,501.82,666.37,1748.47,Other
040000039,4335.33,6,1,817.43,-215.61,4837.15,AMD
040000039,0.0,4,0,696.4,434.36,1130.76,USD
040000039,0.0,6,4,878.88,-439.68,39.2,EUR
040000039,443.71,4,0,514.27,622.92,1580.9,Other
040000040,4818.18,2,2,543.88,-189.38,4972.68,AMD
040000040,0.0,3,0,906.62,-256.05,650.57,USD
040000040,0.0,8,3,862.03,955.86,1517.89,EUR
040000040,0.0,3,2,796.33,117.03,713.36,Other
040000041,4896.97,4,0,116.24,-357.51,4655.7,AMD
040000041,0.0,3,1,288.24,482.81,671.05,USD
040000041,0.0,4,2,547.88,-668.33,-320.45,EUR
040000041,0.0,6,1,363.98,151.27,415.25,Other
040000042,4947.93,9,0,755.47,885.0,6588.4,AMD
040000042,0.0,3,3,128.59,8.21,-163.2,USD
040000042,139.52,5,3,641.75,584.47,1065.74,EUR
040000042,613.73,2,4,676.75,6.11,896.59,Other
