FCLICODE,Start Balance,New Client,Closed Clients,From other,Own Resources,End Balance,Category
04000001,0.0,3,3,410.5,987.79,1098.29,AMD
04000001,0.0,2,1,101.56,-285.81,-284.25,USD
04000001,4336.03,5,3,290.64,-849.43,3477.24,EUR
04000001,0.0,4,4,781.06,971.93,1352.99,Other
04000002,3987.43,1,4,872.71,790.38,5250.52,AMD
04000002,2365.44,5,0,108.45,860.58,3334.47,USD
04000002,0.0,1,4,552.66,721.53,874.19,EUR
04000002,174.18,4,4,594.15,846.51,1214.84,Other
04000003,0.0,7,4,759.26,409.93,769.19,AMD
04000003,0.0,2,0,213.42,550.74,764.16,USD
04000003,0.0,7,0,874.11,-281.77,592.34,EUR
04000003,0.0,9,0,351.15,828.54,1179.69,Other
04000004,0.0,5,3,817.59,473.36,990.95,AMD
04000004,0.0,9,4,561.28,766.52,927.8,USD
04000004,4657.39,0,0,939.12,921.41,6517.92,EUR
04000004,1966.89,7,3,668.95,921.32,3257.16,Other
04000005,0.0,9,4,448.03,118.83,166.86,AMD
04000005,0.0,1,4,301.46,-452.96,-551.5,USD
04000005,0.0,4,3,416.99,43.8,160.79,EUR
04000005,1038.26,1,3,357.28,-170.43,925.11,Other
04000006,2617.54,0,4,313.19,-549.61,1981.12,AMD
04000006,0.0,4,0,347.33,93.68,441.01,USD
04000006,0.0,6,2,490.1,323.27,613.37,EUR
04000006,1033.82,3,2,759.98,-508.9,1084.9,Other
04000007,0.0,9,4,792.84,233.03,625.87,AMD
04000007,0.0,0,1,479.57,544.76,924.33,USD
04000007,0.0,6,3,862.28,-507.94,54.34,EUR
04000007,4498.75,7,2,452.84,-38.75,4712.84,Other
04000008,0.0,8,3,453.89,-529.9,-376.01,AMD
04000008,0.0,1,4,868.02,-634.26,-166.24,USD
04000008,0.0,5,0,746.77,-80.25,666.52,EUR
04000008,0.0,1,2,690.97,-588.34,-97.37,Other
04000009,0.0,7,3,633.53,577.68,911.21,AMD
04000009,0.0,8,0,853.99,827.57,1681.56,USD
04000009,4342.01,0,1,143.94,730.75,5116.7,EUR
04000009,3587.0,7,0,949.09,-734.79,3801.3,Other
040000010,0.0,7,0,369.11,-289.96,79.15,AMD
040000010,2827.06,1,0,714.98,-65.74,3476.3,USD
040000010,0.0,0,4,605.92,631.07,836.99,EUR
040000010,2571.33,8,3,840.34,676.99,3788.66,Other
040000011,0.0,7,3,937.57,-302.17,335.4,AMD
040000011,4820.29,2,1,771.79,-422.89,5069.19,USD
040000011,0.0,9,1,250.91,-246.74,-95.83,EUR
040000011,2851.37,5,4,296.14,497.95,3245.46,Other
040000012,4716.46,2,4,180.62,477.27,4974.35,AMD
040000012,4853.51,7,3,164.62,-136.78,4581.35,USD
040000012,0.0,2,1,449.59,-497.41,-147.82,EUR
040000012,0.0,9,1,643.57,-616.34,-72.77,Other
