FCLICODE,Start Balance,New Client,Closed Clients,From other,Own Resources,End Balance,Category
04000001,3506.75,3,3,135.41,-63.69,3278.47,AMD
04000001,0.0,8,4,579.56,-184.72,-5.16,USD
04000001,0.0,2,4,230.35,-621.14,-790.79,EUR
04000001,0.0,1,0,137.91,30.76,168.67,Other
04000002,3617.32,0,0,818.51,748.1,5183.93,AMD
04000002,3907.36,5,4,252.28,-551.1,3208.54,USD
04000002,2900.35,8,3,602.15,-107.15,3095.35,EUR
04000002,0.0,1,2,196.38,-745.51,-749.13,Other
04000003,2777.89,2,4,191.07,-348.4,2220.56,AMD
04000003,0.0,8,3,657.22,795.84,1153.06,USD
04000003,3745.24,1,3,155.53,-767.1,2833.67,EUR
04000003,0.0,1,3,796.48,-234.89,261.59,Other
04000004,0.0,4,4,121.84,990.75,712.59,AMD
04000004,0.0,1,1,395.67,669.36,965.03,USD
04000004,0.0,2,1,367.05,400.7,667.75,EUR
04000004,1150.35,6,2,473.16,314.24,1737.75,Other
04000005,0.0,8,0,736.13,-959.22,-223.09,AMD
04000005,0.0,7,1,515.0,-165.01,249.99,USD
04000005,0.0,9,2,252.28,846.37,898.65,EUR
04000005,2346.73,5,0,165.98,664.64,3177.35,Other
04000006,529.94,2,4,483.29,599.19,1212.42,AMD
04000006,0.0,3,2,469.31,-94.22,175.09,USD
04000006,0.0,1,1,755.14,-497.06,158.08,EUR
04000006,0.0,8,2,667.25,607.24,1074.49,Other
04000007,3301.28,2,2,633.05,219.71,3954.04,AMD
04000007,4918.42,3,0,868.62,703.59,6490.63,USD
04000007,0.0,8,3,239.82,7.5,-52.68,EUR
04000007,0.0,5,2,965.97,-945.98,-180.01,Other
04000008,794.96,5,4,952.37,481.1,1828.43,AMD
04000008,3126.22,5,3,513.45,470.15,3809.82,USD
04000008,0.0,7,3,592.83,-189.44,103.39,EUR
04000008,3635.73,5,2,815.78,353.69,4605.2,Other
04000009,0.0,8,4,916.71,218.46,735.17,AMD
04000009,0.0,0,3,414.37,-83.05,31.32,USD
04000009,0.0,9,2,440.9,984.11,1225.01,EUR
04000009,0.0,8,2,391.5,591.11,782.61,Other
040000010,2793.82,2,4,962.62,-520.58,2835.86,AMD
040000010,0.0,9,1,894.17,58.17,852.34,USD
040000010,3032.33,7,3,811.59,321.25,3865.17,EUR
040000010,3151.89,0,3,139.93,471.77,3463.59,Other
040000011,2147.12,2,1,435.84,275.72,2758.68,AMD
040000011,0.0,5,1,995.88,547.5,1443.38,USD
040000011,1973.11,1,0,919.12,482.0,3374.23,EUR
040000011,2944.89,4,1,256.07,803.96,3904.92,Other
040000012,0.0,4,1,549.85,428.65,878.5,AMD
040000012,1195.47,4,3,137.44,-165.85,867.06,USD
040000012,0.0,2,4,769.85,329.93,699.78,EUR
040000012,260.35,6,1,299.43,-295.13,164.65,Other
040000013,0.0,7,4,260.02,-507.2,-647.18,AMD
040000013,561.9,1,2,604.48,997.29,1963.67,USD
040000013,0.0,0,2,329.37,-72.06,57.31,EUR
040000013,0.0,6,2,635.96,-618.67,-182.71,Other
040000014,2152.69,4,1,568.36,826.68,3447.73,AMD
040000014,691.87,1,2,996.06,-503.03,984.9,USD
040000014,2802.35,8,4,565.65,-228.85,2739.15,EUR
040000014,1690.83,4,4,313.12,-616.88,987.07,Other
040000015,0.0,0,3,435.67,-710.35,-574.68,AMD
040000015,0.0,7,2,317.36,944.3,1061.66,USD
040000015,1243.76,5,1,979.47,-501.63,1621.6,EUR
040000015,0.0,6,3,708.95,933.21,1342.16,Other
040000016,47.42,9,4,452.11,-533.41,-433.88,AMD
040000016,1808.92,5,2,695.6,-959.77,1344.75,USD
040000016,0.0,7,4,100.91,727.44,428.35,EUR
040000016,0.0,6,3,367.99,145.88,213.87,Other
040000017,1899.17,8,4,683.07,438.8,2621.04,AMD
040000017,0.0,0,4,824.69,63.56,488.25,USD
040000017,314.23,4,1,960.39,692.29,1866.91,EUR
040000017,2310.64,4,2,239.31,-312.31,2037.64,Other
040000018,0.0,5,3,277.05,-325.39,-348.34,AMD
040000018,341.34,4,1,835.1,274.85,1351.29,USD
040000018,0.0,7,3,307.86,917.27,925.13,EUR
040000018,1888.58,0,4,704.37,250.48,2443.43,Other
040000019,0.0,0,4,682.27,-89.48,192.79,AMD
040000019,1398.54,9,2,235.73,105.93,1540.2,USD
040000019,0.0,6,3,527.01,802.58,1029.59,EUR
040000019,0.0,0,0,452.42,-882.29,-429.87,Other
040000020,608.01,6,3,541.11,767.47,1616.59,AMD
040000020,3793.93,7,4,137.39,-827.29,2704.03,USD
040000020,0.0,3,0,923.61,244.16,1167.77,EUR
040000020,0.0,9,0,367.07,-840.02,-472.95,Other
040000021,0.0,4,1,789.23,337.04,1026.27,AMD
040000021,1739.68,6,4,673.88,504.56,2518.12,USD
040000021,0.0,9,3,153.0,-629.03,-776.03,EUR
040000021,0.0,0,4,770.6,934.95,1305.55,Other
040000022,2546.64,9,2,218.07,-589.24,1975.47,AMD
040000022,0.0,7,0,399.93,327.02,726.95,USD
040000022,0.0,4,4,470.05,-34.81,35.24,EUR
040000022,0.0,5,2,701.53,-702.44,-200.91,Other
040000023,2007.72,7,1,389.13,-584.47,1712.38,AMD
040000023,0.0,9,2,886.63,-378.17,308.46,USD
040000023,0.0,9,2,747.63,-925.55,-377.92,EUR
040000023,4793.51,9,0,295.06,878.44,5967.01,Other
040000024,3754.01,8,3,826.34,838.4,5118.75,AMD
040000024,0.0,7,1,269.93,471.78,641.71,USD
040000024,854.06,7,0,447.12,758.34,2059.52,EUR
040000024,0.0,6,3,316.54,133.69,150.23,Other
040000025,0.0,9,3,849.93,154.27,704.2,AMD
040000025,0.0,9,1,524.05,-166.71,257.34,USD
040000025,0.0,3,4,646.15,-657.17,-411.02,EUR
040000025,0.0,2,3,428.71,-904.56,-775.85,Other
040000026,3414.3,6,1,411.54,-164.42,3561.42,AMD
040000026,427.94,3,1,513.99,439.5,1281.43,USD
040000026,0.0,3,4,410.3,-502.57,-492.27,EUR
040000026,2591.74,1,4,151.43,-49.25,2293.92,Other
040000027,0.0,5,0,810.54,-94.88,715.66,AMD
040000027,0.0,3,3,591.96,-841.7,-549.74,USD
040000027,0.0,1,2,266.19,-35.26,30.93,EUR
040000027,0.0,3,0,658.28,-787.04,-128.76,Other
